BUS UID,Fuel,GEN UID,Plant Code,Unit Type,CO2 Emissions Lbs/MWh
170550_1,NG (Natural Gas),55097_NaturalGasFiredCombinedCycle_STG1,55097,Natural Gas Fired Combined Cycle,833.8917064786300
150515_1,WND (Wind),59034_OnshoreWindTurbine_SHAN1,59034,Onshore Wind Turbine,0.0
200186_1,WND (Wind),57802_OnshoreWindTurbine_MV1,57802,Onshore Wind Turbine,0.0
220222_1,SUN (Solar),60044_SolarPhotovoltaic_BKTH1,60044,Solar Photovoltaic,0.0
200184_1,WND (Wind),57752_OnshoreWindTurbine_1,57752,Onshore Wind Turbine,0.0
160270_1,WND (Wind),56795_OnshoreWindTurbine_1,56795,Onshore Wind Turbine,0.0
160288_1,WND (Wind),59063_OnshoreWindTurbine_WT1,59063,Onshore Wind Turbine,0.0
160275_1,WND (Wind),57095_OnshoreWindTurbine_1,57095,Onshore Wind Turbine,0.0
190206_1,WND (Wind),62566_OnshoreWindTurbine_BS3,62566,Onshore Wind Turbine,0.0
210349_1,WND (Wind),59442_OnshoreWindTurbine_1,59442,Onshore Wind Turbine,0.0
160278_1,WND (Wind),57212_OnshoreWindTurbine_1,57212,Onshore Wind Turbine,0.0
190162_1,WND (Wind),59384_OnshoreWindTurbine_1,59384,Onshore Wind Turbine,0.0
190145_1,WND (Wind),58772_OnshoreWindTurbine_GEN1,58772,Onshore Wind Turbine,0.0
180143_1,WND (Wind),62258_OnshoreWindTurbine_MES,62258,Onshore Wind Turbine,0.0
190147_1,WND (Wind),58773_OnshoreWindTurbine_GEN1,58773,Onshore Wind Turbine,0.0
180123_1,WND (Wind),59320_OnshoreWindTurbine_GEN1,59320,Onshore Wind Turbine,0.0
210354_1,WND (Wind),61212_OnshoreWindTurbine_FTWI,61212,Onshore Wind Turbine,0.0
150437_1,NG (Natural Gas),3628_NaturalGasSteamTurbine_3,3628,Natural Gas Steam Turbine,1527.5860032322700
240233_1,WND (Wind),56395_OnshoreWindTurbine_1,56395,Onshore Wind Turbine,0.0
200181_1,WND (Wind),57751_OnshoreWindTurbine_1,57751,Onshore Wind Turbine,0.0
190157_1,WND (Wind),59068_OnshoreWindTurbine_GVII,59068,Onshore Wind Turbine,0.0
240236_1,WND (Wind),56483_OnshoreWindTurbine_1,56483,Onshore Wind Turbine,0.0
180134_1,WND (Wind),60645_OnshoreWindTurbine_WJ21,60645,Onshore Wind Turbine,0.0
180126_1,WND (Wind),59321_OnshoreWindTurbine_GEN1,59321,Onshore Wind Turbine,0.0
240312_1,WND (Wind),61782_OnshoreWindTurbine_WTGS,61782,Onshore Wind Turbine,0.0
240275_1,WND (Wind),56979_OnshoreWindTurbine_1,56979,Onshore Wind Turbine,0.0
150429_1,NG (Natural Gas),3490_NaturalGasSteamTurbine_1,3490,Natural Gas Steam Turbine,1385.3201901125900
270218_1,NG (Natural Gas),55153_NaturalGasFiredCombinedCycle_STG2,55153,Natural Gas Fired Combined Cycle,831.1875798072930
240280_2,WND (Wind),56984_OnshoreWindTurbine_1,56984,Onshore Wind Turbine,0.0
220216_1,WND (Wind),59972_OnshoreWindTurbine_BRKAT,59972,Onshore Wind Turbine,0.0
260209_1,NG (Natural Gas),55091_NaturalGasFiredCombinedCycle_STK2,55091,Natural Gas Fired Combined Cycle,899.2126309111640
